season,method,reversal_rate,p_match_actual,p_elim_judge_top,p_elim_judge_bottom,p_elim_fan_top,p_elim_fan_bottom,expected_judge_rank_elim,expected_fan_rank_elim,save_override_rate
25,percent_save,0.22801999999999997,0.77198,0.0,0.54484,0.0016200000000000003,0.46112000000000003,5.4393,5.26428,0.30748
25,rank_direct,0.196,0.8039999999999999,0.0,0.56062,0.0015,0.50158,5.53988,5.26552,
25,rank_save,0.50642,0.49358,0.0,0.90136,0.10307999999999999,0.22962000000000002,5.89844,4.26652,0.45026
27,percent_direct,0.4061333333333333,0.5938666666666667,0.037616666666666666,0.10218333333333333,6.666666666666667e-05,0.6336499999999999,5.673233333333333,7.634783333333334,
27,percent_save,0.5283833333333333,0.47161666666666663,0.0019833333333333335,0.26376666666666665,0.0031,0.26498333333333335,6.724583333333334,6.9058166666666665,0.4116166666666667
27,rank_direct,0.5241833333333333,0.4758166666666666,0.0,0.31738333333333335,0.004783333333333333,0.31005,7.13545,6.776116666666667,
27,rank_save,0.7850833333333332,0.21491666666666667,0.0,0.6191333333333333,0.06186666666666666,0.08561666666666667,7.676633333333334,5.521733333333334,0.4877833333333333
28,percent_direct,0.6065333333333333,0.3934666666666667,0.25116666666666665,0.25503333333333333,0.0,0.7385833333333333,4.626633333333333,7.131033333333334,
28,percent_save,0.5581333333333334,0.4418666666666667,0.08158333333333333,0.41853333333333337,0.0001333333333333333,0.38503333333333334,5.8557,6.529633333333333,0.3653
28,rank_direct,0.5574333333333333,0.4425666666666667,0.0,0.5272333333333333,0.003833333333333333,0.32171666666666665,6.681216666666667,6.1288833333333335,
28,rank_save,0.4759666666666667,0.5240333333333332,0.0,0.8299666666666666,0.10751666666666666,0.1475,7.295533333333334,4.711966666666666,0.496
29,percent_direct,0.6569,0.3431,0.08582857142857143,0.3497,0.0,0.7062857142857143,6.410557142857143,9.2805,
29,percent_save,0.5458428571428572,0.45415714285714287,0.011914285714285714,0.5023428571428571,0.0,0.4052428571428571,7.5889,8.732014285714286,0.31849999999999995
29,rank_direct,0.4862,0.5138,0.0,0.6413571428571428,0.0016142857142857142,0.3335571428571429,8.537471428571429,8.2071,
29,rank_save,0.45334285714285716,0.5466571428571428,0.0,0.865,0.022514285714285716,0.19785714285714287,8.987128571428572,7.245214285714285,0.3325857142857143
30,percent_direct,0.6062666666666666,0.3937333333333333,0.049833333333333334,0.3937333333333333,0.0,0.6363666666666666,7.794433333333333,9.973933333333333,
30,percent_save,0.4512,0.5488,0.004033333333333333,0.5488,0.0,0.3516333333333333,8.9482,9.4176,0.3049
30,rank_direct,0.2695666666666667,0.7304333333333334,0.0,0.7304333333333334,0.0,0.28633333333333333,10.03,8.829933333333333,
30,rank_save,0.004833333333333319,0.9951666666666666,0.0,0.9951666666666666,0.0014666666666666667,0.15876666666666667,10.6559,7.635033333333333,0.3343333333333333
31,percent_direct,0.68388,0.31612,0.07221999999999999,0.19126,0.0,0.64142,8.6694,11.24828,
31,percent_save,0.5697,0.4303,0.0086,0.29356,0.0,0.3297,9.955400000000001,10.58206,0.35140000000000005
31,rank_direct,0.4232,0.5768,0.0,0.35512,0.0,0.31564000000000003,10.793040000000001,10.18568,
31,rank_save,0.39964,0.60036,0.0,0.5946,0.00044,0.14901999999999999,11.38892,8.79722,0.45806
32,percent_direct,0.6368666666666667,0.3631333333333333,0.05136666666666667,0.36265,0.0,0.6574666666666666,6.26895,8.009983333333333,
32,percent_save,0.5455166666666666,0.45448333333333335,0.0036666666666666666,0.52835,0.0,0.3643166666666667,7.082183333333333,7.4371,0.3294166666666667
32,rank_direct,0.5255166666666667,0.4744833333333333,0.0,0.5771166666666666,0.0003,0.39455,7.354983333333333,7.353416666666667,
32,rank_save,0.5633,0.43670000000000003,0.0,0.8511333333333333,0.013749999999999998,0.21406666666666666,7.823799999999999,6.3298,0.4236333333333333
33,percent_direct,0.65686,0.34314,0.11902000000000001,0.27896,0.0,0.78476,4.799259999999999,8.097199999999999,
33,percent_save,0.5869199999999999,0.41308000000000006,0.008299999999999998,0.4335,0.0,0.45704,5.826420000000001,7.60578,0.33742
33,rank_direct,0.60088,0.39912000000000003,0.0,0.61958,0.00148,0.36608,6.71046,7.032819999999999,
33,rank_save,0.58616,0.41384,0.0,0.8288800000000001,0.02854,0.23262,7.287940000000001,6.07694,0.31422
34,percent_direct,0.5885428571428571,0.4114571428571429,0.21221428571428572,0.20918571428571428,4.2857142857142856e-05,0.7824142857142856,4.820314285714285,7.7115,
34,percent_save,0.5652142857142858,0.4347857142857143,0.05117142857142857,0.3565714285714286,0.0001142857142857143,0.39348571428571427,6.081528571428572,7.119285714285715,0.3993142857142857
34,rank_direct,0.5807428571428571,0.4192571428571429,0.0,0.49797142857142856,0.01615714285714286,0.30582857142857145,6.946314285714286,6.564,
34,rank_save,0.5878571428571429,0.4121428571428571,0.0,0.7441142857142857,0.06354285714285714,0.15087142857142857,7.495042857142857,5.454871428571429,0.3659
